dummy,dummy,dummy,Wind_on,Wind_off,Solar
2013,IND,h399,0.124402381,0,0.76
2013,IND,h400,0.118971565,0,0.58
2013,IND,h401,0.11804966,0,0.35
2013,IND,h402,0.157809252,0,0.06
2013,IND,h403,0.238234286,0,0
2013,IND,h404,0.306340612,0,0
2013,IND,h405,0.344148163,0,0
2013,IND,h406,0.365268707,0,0
2013,IND,h407,0.381891224,0,0
2013,IND,h408,0.399802925,0,0
2013,IND,h409,0.41246102,0,0
2013,IND,h410,0.411553265,0,0
2013,IND,h411,0.387059796,0,0
2013,IND,h412,0.35793068,0,0
2013,IND,h413,0.342265646,0,0
2013,IND,h414,0.338775306,0,0
2013,IND,h415,0.322151973,0,0
2013,IND,h416,0.261156395,0,0.08
2013,IND,h417,0.197825918,0,0.33
2013,IND,h418,0.169432517,0,0.57
2013,IND,h419,0.118186735,0,0.76
2013,IND,h420,0.075010816,0,0.84
2013,IND,h421,0.049421973,0,0.88
2013,IND,h422,0.036140476,0,0.86
2013,IND,h423,0.037163061,0,0.76
2013,IND,h424,0.047943946,0,0.59
2013,IND,h425,0.075398503,0,0.34
2013,IND,h426,0.162547075,0,0.07
2013,IND,h427,0.284441565,0,0
2013,IND,h428,0.369423265,0,0
2013,IND,h429,0.403407551,0,0
2013,IND,h430,0.405250748,0,0
2013,IND,h431,0.396248163,0,0
2013,IND,h432,0.382160544,0,0
2013,IND,h433,0.370832721,0,0
2013,IND,h434,0.359947959,0,0
2013,IND,h435,0.334101361,0,0
2013,IND,h436,0.31221483,0,0
2013,IND,h437,0.297349932,0,0
2013,IND,h438,0.284435918,0,0
2013,IND,h439,0.264083333,0,0
2013,IND,h440,0.218021429,0,0.08
2013,IND,h441,0.157692381,0,0.35
2013,IND,h442,0.138787823,0,0.56
2013,IND,h443,0.126299184,0,0.74
2013,IND,h444,0.105753878,0,0.82
2013,IND,h445,0.090681769,0,0.83
2013,IND,h446,0.083711497,0,0.82
2013,IND,h447,0.079939388,0,0.72
2013,IND,h448,0.084902653,0,0.57
2013,IND,h449,0.107481565,0,0.31
2013,IND,h450,0.181790748,0,0.05
2013,IND,h451,0.274358844,0,0
2013,IND,h452,0.350934966,0,0
2013,IND,h453,0.42192483,0,0
2013,IND,h454,0.46291585,0,0
2013,IND,h455,0.475419252,0,0
2013,IND,h456,0.474178639,0,0
2013,IND,h457,0.457362857,0,0
2013,IND,h458,0.43180932,0,0
2013,IND,h459,0.40947898,0,0
2013,IND,h460,0.394924354,0,0
2013,IND,h461,0.390033061,0,0
2013,IND,h462,0.385229932,0,0
2013,IND,h463,0.364567755,0,0
2013,IND,h464,0.28763966,0,0.07
2013,IND,h465,0.24855551,0,0.34
2013,IND,h466,0.241807347,0,0.56
2013,IND,h467,0.216320952,0,0.74
2013,IND,h468,0.16161932,0,0.83
2013,IND,h469,0.123782517,0,0.85
2013,IND,h470,0.103367007,0,0.81
2013,IND,h471,0.097071905,0,0.69
2013,IND,h472,0.101263469,0,0.54
2013,IND,h473,0.124024694,0,0.32
2013,IND,h474,0.212148027,0,0.06
2013,IND,h475,0.316201293,0,0
2013,IND,h476,0.399492585,0,0
2013,IND,h477,0.455520408,0,0
2013,IND,h478,0.487163401,0,0
2013,IND,h479,0.492370612,0,0
2013,IND,h480,0.480855238,0,0
2013,IND,h481,0.459684082,0,0
2013,IND,h482,0.446278844,0,0
2013,IND,h483,0.438249932,0,0
2013,IND,h484,0.42038483,0,0
2013,IND,h485,0.398780068,0,0
2013,IND,h486,0.384228299,0,0
2013,IND,h487,0.365305034,0,0
2013,IND,h488,0.293381224,0,0.07
2013,IND,h489,0.221321837,0,0.27
2013,IND,h490,0.248412313,0,0.5
2013,IND,h491,0.262096122,0,0.7
2013,IND,h492,0.214806395,0,0.75
2013,IND,h493,0.169407551,0,0.69
2013,IND,h494,0.141141701,0,0.61
2013,IND,h495,0.127266939,0,0.58
2013,IND,h496,0.12533898,0,0.5
2013,IND,h497,0.144296395,0,0.31
2013,IND,h498,0.214639932,0,0.06
2013,IND,h499,0.298265102,0,0
2013,IND,h500,0.363788435,0,0
2013,IND,h501,0.401205034,0,0
2013,IND,h502,0.411984218,0,0
2013,IND,h503,0.410330816,0,0
2013,IND,h504,0.391671973,0,0
2013,IND,h505,0.378831429,0,0
2013,IND,h506,0.356150476,0,0
2013,IND,h507,0.33318932,0,0
2013,IND,h508,0.31432619,0,0
2013,IND,h509,0.297542449,0,0
2013,IND,h510,0.285951429,0,0
2013,IND,h511,0.278694014,0,0
2013,IND,h512,0.221599796,0,0.07
2013,IND,h513,0.174822041,0,0.34
2013,IND,h514,0.190719252,0,0.58
2013,IND,h515,0.164383605,0,0.73
2013,IND,h516,0.136054014,0,0.8
2013,IND,h517,0.110653469,0,0.72
2013,IND,h518,0.087506395,0,0.7
2013,IND,h519,0.069476327,0,0.68
2013,IND,h520,0.060540476,0,0.51
2013,IND,h521,0.074997959,0,0.32
2013,IND,h522,0.152212109,0,0.07
2013,IND,h523,0.245763333,0,0
2013,IND,h524,0.31140898,0,0
2013,IND,h525,0.358057415,0,0
2013,IND,h526,0.386792721,0,0
2013,IND,h527,0.397931633,0,0
2013,IND,h528,0.404317755,0,0
2013,IND,h529,0.400231156,0,0
2013,IND,h530,0.406902925,0,0
2013,IND,h531,0.401261429,0,0
2013,IND,h532,0.38808415,0,0
2013,IND,h533,0.384757687,0,0
2013,IND,h534,0.388259796,0,0
2013,IND,h535,0.377591837,0,0
2013,IND,h536,0.288038299,0,0.07
2013,IND,h537,0.242405306,0,0.33
2013,IND,h538,0.26323585,0,0.53
2013,IND,h539,0.20532034,0,0.71
2013,IND,h540,0.149513401,0,0.8
2013,IND,h541,0.111958367,0,0.83
2013,IND,h542,0.088112109,0,0.79
2013,IND,h543,0.078068367,0,0.69
2013,IND,h544,0.083913878,0,0.49
2013,IND,h545,0.109767755,0,0.32
2013,IND,h546,0.19500898,0,0.06
2013,IND,h547,0.292998367,0,0
2013,IND,h548,0.351171088,0,0
2013,IND,h549,0.392452245,0,0
2013,IND,h550,0.414489728,0,0
2013,IND,h551,0.414190884,0,0
2013,IND,h552,0.401955034,0,0
2013,IND,h553,0.395022245,0,0
2013,IND,h554,0.393435986,0,0
2013,IND,h555,0.37774,0,0
2013,IND,h556,0.354822245,0,0
2013,IND,h557,0.328601156,0,0
2013,IND,h558,0.298097075,0,0
2013,IND,h559,0.279508027,0,0
2013,IND,h560,0.232710816,0,0.08
2013,IND,h561,0.193983537,0,0.34
2013,IND,h562,0.182513878,0,0.58
2013,IND,h563,0.173433605,0,0.73
2013,IND,h564,0.168337483,0,0.83
2013,IND,h565,0.156609592,0,0.87
2013,IND,h566,0.145817211,0,0.82
2013,IND,h567,0.142502653,0,0.75
2013,IND,h568,0.144763605,0,0.58
2013,IND,h569,0.159940408,0,0.34
2013,IND,h570,0.228451088,0,0.08
2013,IND,h571,0.312915646,0,0
2013,IND,h572,0.355356395,0,0
2013,IND,h573,0.361616531,0,0
2013,IND,h574,0.357669116,0,0
2013,IND,h575,0.357085646,0,0
2013,IND,h576,0.367915102,0,0
2013,IND,h577,0.385048435,0,0
2013,IND,h578,0.398470612,0,0
2013,IND,h579,0.397749388,0,0
2013,IND,h580,0.388825918,0,0
2013,IND,h581,0.376291633,0,0
2013,IND,h582,0.366676803,0,0
2013,IND,h583,0.349575374,0,0
2013,IND,h584,0.280025034,0,0.07
2013,IND,h585,0.215843605,0,0.33
2013,IND,h586,0.191664762,0,0.54
2013,IND,h587,0.176803741,0,0.64
2013,IND,h588,0.124964422,0,0.73
2013,IND,h589,0.084845442,0,0.79
2013,IND,h590,0.063474286,0,0.76
2013,IND,h591,0.059927483,0,0.73
2013,IND,h592,0.070660272,0,0.53
2013,IND,h593,0.102766735,0,0.33
2013,IND,h594,0.209635442,0,0.07
2013,IND,h595,0.343122993,0,0
2013,IND,h596,0.424857619,0,0
2013,IND,h597,0.455383946,0,0
2013,IND,h598,0.45205898,0,0
2013,IND,h599,0.427708299,0,0
2013,IND,h600,0.409683741,0,0
2013,IND,h601,0.403918095,0,0
2013,IND,h602,0.399090136,0,0
2013,IND,h603,0.379263946,0,0
2013,IND,h604,0.359512721,0,0
2013,IND,h605,0.35213415,0,0
2013,IND,h606,0.347447891,0,0
2013,IND,h607,0.317988299,0,0
2013,IND,h608,0.219960476,0,0.08
2013,IND,h609,0.182585646,0,0.34
2013,IND,h610,0.185283878,0,0.57
2013,IND,h611,0.149524966,0,0.74
2013,IND,h612,0.113743741,0,0.83
2013,IND,h613,0.091269456,0,0.85
2013,IND,h614,0.077854898,0,0.83
2013,IND,h615,0.071773946,0,0.73
2013,IND,h616,0.074773401,0,0.59
2013,IND,h617,0.093560612,0,0.35
2013,IND,h618,0.168878163,0,0.06
2013,IND,h619,0.276467483,0,0
2013,IND,h620,0.361266735,0,0
2013,IND,h621,0.407391361,0,0
2013,IND,h622,0.43557068,0,0
2013,IND,h623,0.446772925,0,0
2013,IND,h624,0.437552245,0,0
2013,IND,h625,0.427682177,0,0
2013,IND,h626,0.422293197,0,0
2013,IND,h627,0.410751565,0,0
2013,IND,h628,0.379089864,0,0
2013,IND,h629,0.339720748,0,0
2013,IND,h630,0.304925986,0,0
2013,IND,h631,0.267595986,0,0
2013,IND,h632,0.211132313,0,0.08
2013,IND,h633,0.186097007,0,0.35
2013,IND,h634,0.175880612,0,0.59
2013,IND,h635,0.132784218,0,0.74
2013,IND,h636,0.100627007,0,0.84
2013,IND,h637,0.081822313,0,0.88
2013,IND,h638,0.074920068,0,0.83
2013,IND,h639,0.075940612,0,0.73
2013,IND,h640,0.085072381,0,0.59
2013,IND,h641,0.101923946,0,0.34
2013,IND,h642,0.162363265,0,0.08
2013,IND,h643,0.242004082,0,0
2013,IND,h644,0.277257619,0,0
2013,IND,h645,0.293329184,0,0
2013,IND,h646,0.324775646,0,0
2013,IND,h647,0.344780476,0,0
2013,IND,h648,0.342989728,0,0
2013,IND,h649,0.341324626,0,0
2013,IND,h650,0.342127007,0,0
2013,IND,h651,0.320177279,0,0
2013,IND,h652,0.299378027,0,0
2013,IND,h653,0.280126803,0,0
2013,IND,h654,0.265363469,0,0
2013,IND,h655,0.253956327,0,0
2013,IND,h656,0.237069116,0,0.07
2013,IND,h657,0.250159388,0,0.32
2013,IND,h658,0.258671293,0,0.56
2013,IND,h659,0.21601966,0,0.75
2013,IND,h660,0.179829116,0,0.85
2013,IND,h661,0.15968415,0,0.87
2013,IND,h662,0.152966122,0,0.84
2013,IND,h663,0.150947211,0,0.6
2013,IND,h664,0.149883061,0,0.47
2013,IND,h665,0.150329252,0,0.36
2013,IND,h666,0.179728776,0,0.07
2013,IND,h667,0.222852313,0,0
2013,IND,h668,0.244395034,0,0
2013,IND,h669,0.255430884,0,0
2013,IND,h670,0.26921483,0,0
2013,IND,h671,0.285172041,0,0
2013,IND,h672,0.294831905,0,0
2013,IND,h673,0.294421497,0,0
2013,IND,h674,0.281033946,0,0
2013,IND,h675,0.255316395,0,0
2013,IND,h676,0.23900585,0,0
2013,IND,h677,0.234344558,0,0
2013,IND,h678,0.235487755,0,0
2013,IND,h679,0.21805966,0,0
2013,IND,h680,0.181372245,0,0.08
2013,IND,h681,0.164367279,0,0.33
2013,IND,h682,0.157015102,0,0.58
2013,IND,h683,0.145719252,0,0.75
2013,IND,h684,0.134479592,0,0.83
2013,IND,h685,0.129001565,0,0.83
2013,IND,h686,0.129686327,0,0.81
2013,IND,h687,0.133213673,0,0.7
2013,IND,h688,0.137764898,0,0.56
2013,IND,h689,0.143621837,0,0.34
2013,IND,h690,0.18595898,0,0.08
2013,IND,h691,0.259873469,0,0
2013,IND,h692,0.327082925,0,0
2013,IND,h693,0.379088503,0,0
2013,IND,h694,0.416575442,0,0
2013,IND,h695,0.43862483,0,0
2013,IND,h696,0.442921905,0,0
2013,IND,h697,0.438196803,0,0
2013,IND,h698,0.435068503,0,0
