dummy,dummy,PR_up,PR_do,SR_up,SR_do,MR_up,MR_do
2013,h148,0.05,0.05,0.049187373,0.352891762,0.104521682,0.069985386
2013,h149,0.05,0.05,0.044450305,0.343740117,0.104521682,0.069985386
2013,h150,0.05,0.05,0.040475074,0.334791074,0.10017058,0.068689675
2013,h151,0.05,0.05,0.038751172,0.326805621,0.095395193,0.065308082
2013,h152,0.05,0.05,0.039537428,0.329562974,0.089931421,0.06334115
2013,h153,0.05,0.05,0.040460424,0.337533602,0.083558465,0.056233857
2013,h154,0.05,0.05,0.039498359,0.332172083,0.084588875,0.058200788
2013,h155,0.05,0.05,0.037090756,0.323613417,0.084580216,0.056170133
2013,h156,0.05,0.05,0.037017503,0.314545778,0.077930175,0.052665341
2013,h157,0.05,0.05,0.037139592,0.299128321,0.072128706,0.050966048
2013,h158,0.05,0.05,0.034995702,0.286418801,0.06757412,0.048863173
2013,h159,0.05,0.05,0.034912682,0.28072126,0.062222915,0.046824021
2013,h160,0.05,0.05,0.036074973,0.270902514,0.056330528,0.04442377
2013,h161,0.05,0.05,0.036587748,0.260115236,0.050438141,0.042023518
2013,h162,0.05,0.05,0.036827043,0.253473869,0.044563071,0.038875578
2013,h163,0.05,0.05,0.036138459,0.239850174,0.041216403,0.036747213
2013,h164,0.05,0.05,0.03521058,0.236569023,0.035341334,0.033599273
2013,h165,0.05,0.05,0.033188779,0.228474858,0.029578831,0.030340878
2013,h166,0.05,0.05,0.030493046,0.223355471,0.024522028,0.031640837
2013,h167,0.05,0.05,0.028656821,0.217445446,0.024954974,0.033807436
2013,h168,0.05,0.05,0.025902485,0.209010318,0.02339637,0.035974035
2013,h169,0.05,0.05,0.023143265,0.206198608,0.020681802,0.037375952
2013,h170,0.05,0.05,0.021873535,0.195006127,0.020508624,0.036356376
2013,h171,0.05,0.05,0.021326574,0.191581673,0.019123199,0.029219345
2013,h172,0.05,0.05,0.021150766,0.185236796,0.019123199,0.029219345
2013,h173,0.05,0.05,0.020681942,0.177241461,0.019123199,0.029219345
2013,h174,0.05,0.05,0.019998242,0.170906467,0.019123199,0.029219345
2013,h175,0.05,0.05,0.019539186,0.164620889,0.017387088,0.027435087
2013,h176,0.05,0.05,0.020335209,0.159160539,0.016954142,0.026054411
2013,h177,0.05,0.05,0.019641741,0.150631523,0.016607786,0.024291395
2013,h178,0.05,0.05,0.019700344,0.142665836,0.014127009,0.02189964
2013,h179,0.05,0.05,0.019495234,0.13675087,0.00808742,0.017413506
2013,h180,0.05,0.05,0.019495234,0.133237468,0.006433569,0.016100802
2013,h181,0.05,0.05,0.019153383,0.134532139,0.006433569,0.016100802
2013,h182,0.05,0.05,0.019182685,0.138742291,0.006433569,0.016100802
2013,h183,0.05,0.05,0.019182685,0.134542022,0.006433569,0.016100802
2013,h184,0.05,0.05,0.018538053,0.133385713,0.006433569,0.016100802
2013,h185,0.05,0.05,0.019153383,0.132259053,0.006433569,0.016100802
2013,h186,0.05,0.05,0.018811533,0.132095984,0.006433569,0.016100802
2013,h187,0.05,0.05,0.018108298,0.139320446,0.006433569,0.016100802
2013,h188,0.05,0.05,0.018259689,0.139162318,0.006433569,0.016100802
2013,h189,0.05,0.05,0.018367128,0.143970391,0.004723434,0.014932538
2013,h190,0.05,0.05,0.02022777,0.147824755,0.006056906,0.01182708
2013,h191,0.05,0.05,0.020999375,0.151021901,0.005623961,0.009660481
